#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
   3  2.074703e-02  3.370836e-04  4.859405e-07
   5  5.202893e-03  2.148437e-05  1.447470e-08
   7  2.313751e-03  4.228717e-06  7.981846e-08
   9  1.301703e-03  1.305630e-06  1.447470e-08
  11  8.331599e-04  5.512843e-07  1.447470e-08
  13  5.785684e-04  2.684048e-07  1.087679e-07
  15  4.252477e-04  1.741116e-07  7.981846e-08
  17  3.254855e-04  7.981846e-08  1.447470e-08
  19  2.572173e-04  7.981846e-08  1.087679e-07
  21  2.081848e-04  1.741116e-07  1.087679e-07
  23  1.720705e-04  7.981846e-08  1.087679e-07
  25  1.447255e-04  1.447470e-08  1.087679e-07
  27  1.233210e-04  7.981846e-08  1.447470e-08
  29  1.064425e-04  1.447470e-08  1.087679e-07
  31  9.248711e-05  2.684048e-07  1.741116e-07
  33  8.136052e-05  1.087679e-07  7.981846e-08
  35  7.193121e-05  1.447470e-08  7.981846e-08
  37  6.410487e-05  2.684048e-07  1.447470e-08
  39  5.769294e-05  7.981846e-08  1.447470e-08
  41  5.212964e-05  1.447470e-08  1.087679e-07
  43  4.732069e-05  7.981846e-08  7.981846e-08
  45  4.298321e-05  1.087679e-07  2.030610e-07
  47  3.930577e-05  1.447470e-08  1.447470e-08
  49  3.628839e-05  7.981846e-08  1.087679e-07
  51  3.355389e-05  7.981846e-08  7.981846e-08
  53  3.072510e-05  1.741116e-07  1.447470e-08
  55  2.883923e-05  1.087679e-07  7.981846e-08
  57  2.685908e-05  1.087679e-07  1.447470e-08
  59  2.469033e-05  1.447470e-08  1.447470e-08
  61  2.299306e-05  1.741116e-07  1.447470e-08
  63  2.205012e-05  1.087679e-07  1.087679e-07
  65  2.063573e-05  1.447470e-08  7.981846e-08
  67  1.912704e-05  1.087679e-07  1.087679e-07
  69  1.808981e-05  1.087679e-07  2.030610e-07
  71  1.686400e-05  2.684048e-07  1.447470e-08
  73  1.610966e-05  1.087679e-07  7.981846e-08
  75  1.526102e-05  7.981846e-08  7.981846e-08
  77  1.450667e-05  1.087679e-07  2.684048e-07
  79  1.365803e-05  1.741116e-07  1.087679e-07
  81  1.299798e-05  7.981846e-08  1.741116e-07
  83  1.233793e-05  1.087679e-07  1.087679e-07
  85  1.167788e-05  1.087679e-07  1.741116e-07
  87  1.158358e-05  7.981846e-08  2.030610e-07
  89  1.092353e-05  1.741116e-07  1.087679e-07
  91  1.016919e-05  2.030610e-07  7.981846e-08
  93  1.016919e-05  1.741116e-07  2.684048e-07
  95  9.603428e-06  1.087679e-07  1.447470e-08
  97  9.226255e-06  1.741116e-07  1.087679e-07
  99  8.471910e-06  1.087679e-07  7.981846e-08
 101  8.189030e-06  7.981846e-08  7.981846e-08
 103  7.906151e-06  7.981846e-08  3.626979e-07
 105  7.717564e-06  2.684048e-07  3.626979e-07
 107  7.528978e-06  1.087679e-07  1.087679e-07
 109  6.868926e-06  1.741116e-07  3.626979e-07
 111  7.246099e-06  3.916473e-07  1.447470e-08
 113  6.680340e-06  4.569911e-07  7.981846e-08
 115  6.586046e-06  1.447470e-08  7.981846e-08
