# omega0=1, alpha=0.3
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  5.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 4.980257719907217e-01 -4.307508342461622e-02
1.823856402664613e-01 4.921885117866829e-01 -8.467728603211323e-02
2.735784603996920e-01 4.826346021941237e-01 -1.245446478810625e-01
3.647712805329227e-01 4.695335830069484e-01 -1.624312543617398e-01
4.559641006661534e-01 4.530766846502181e-01 -1.981073589390626e-01
5.471569207993838e-01 4.334753351973170e-01 -2.313598505746879e-01
6.383497409326140e-01 4.109596081880468e-01 -2.619930847418050e-01
7.295425610658441e-01 3.857765786018484e-01 -2.898300609626535e-01
8.207353811990743e-01 3.581885574565368e-01 -3.147138961260018e-01
9.119282013323045e-01 3.284711815180777e-01 -3.365095132287501e-01
1.003121021465535e+00 2.969113430714601e-01 -3.551054413606809e-01
1.094313841598765e+00 2.638049550150232e-01 -3.704156062939593e-01
1.185506661731995e+00 2.294545579682852e-01 -3.823809832071093e-01
1.276699481865225e+00 1.941667878011654e-01 -3.909709846140545e-01
1.367892301998455e+00 1.582497331368845e-01 -3.961844675532140e-01
1.459085122131685e+00 1.220102221168261e-01 -3.980502638102770e-01
1.550277942264916e+00 8.575108530934396e-02 -3.966271639008145e-01
1.641470762398146e+00 4.976844653162917e-02 -3.920033175317976e-01
1.732663582531376e+00 1.434909519430609e-02 -3.842950476096085e-01
1.823856402664606e+00 -2.023200751078960e-02 -3.736451086711383e-01
1.915049222797836e+00 -5.371404049986914e-02 -3.602204510966044e-01
2.006242042931067e+00 -8.585241145998551e-02 -3.442095772435838e-01
2.097434863064297e+00 -1.164205896899057e-01 -3.258195930058928e-01
2.188627683197527e+00 -1.452116604392492e-01 -3.052730673415132e-01
2.279820503330757e+00 -1.720395884212274e-01 -2.828048129702702e-01
2.371013323463987e+00 -1.967401882316036e-01 -2.586586944294442e-01
2.462206143597217e+00 -2.191718085233834e-01 -2.330845563266234e-01
2.553398963730448e+00 -2.392157444624866e-01 -2.063353466828772e-01
2.644591783863678e+00 -2.567763988919000e-01 -1.786644896329829e-01
2.735784603996908e+00 -2.717812166030560e-01 -1.503235403272407e-01
2.826977424130138e+00 -2.841804181595587e-01 -1.215601343428076e-01
2.918170244263368e+00 -2.939465599855323e-01 -9.261622562453103e-02
3.009363064396598e+00 -3.010739461717589e-01 -6.372659192168491e-02
3.100555884529828e+00 -3.055779149925448e-01 -3.511757546677329e-02
3.191748704663059e+00 -3.074940198279943e-01 -7.006019496241578e-03
3.282941524796289e+00 -3.068771204206869e-01 2.040164192540737e-02
3.374134344929519e+00 -3.038003965156232e-01 4.691018275678276e-02
3.465327165062749e+00 -2.983542922537485e-01 7.233631071748650e-02
3.556519985195979e+00 -2.906453964775970e-01 9.650935176390212e-02
3.647712805329209e+00 -2.807952615680476e-01 1.192719168909482e-01
3.738905625462440e+00 -2.689391617043855e-01 1.404805654078866e-01
3.830098445595670e+00 -2.552247905998277e-01 1.600064689487940e-01
3.921291265728900e+00 -2.398108988197957e-01 1.777360708469670e-01
4.012484085862130e+00 -2.228658716869942e-01 1.935717267778514e-01
4.103676905995361e+00 -2.045662504063882e-01 2.074323053268607e-01
4.194869726128591e+00 -1.850952012478666e-01 2.192537218280959e-01
4.286062546261821e+00 -1.646409402119904e-01 2.289893757742702e-01
4.377255366395051e+00 -1.433951233592229e-01 2.366104614873068e-01
4.468448186528281e+00 -1.215512156820692e-01 2.421061235625847e-01
4.559641006661511e+00 -9.930285382727916e-02 2.454834326834136e-01
4.650833826794742e+00 -7.684221993978352e-02 2.467671634087331e-01
4.742026646927972e+00 -5.435844524675856e-02 2.459993629911223e-01
4.833219467061202e+00 -3.203606262272415e-02 2.432387086095552e-01
4.924412287194432e+00 -1.005352722356976e-02 2.385596589768467e-01
5.015605107327662e+00 1.141817664517305e-02 2.320514144834352e-01
5.106797927460892e+00 3.221682589213126e-02 2.238167073012333e-01
5.197990747594122e+00 5.219013193523840e-02 2.139704487303821e-01
5.289183567727353e+00 7.119678531782181e-02 2.026382652016158e-01
5.380376387860583e+00 8.910736301624164e-02 1.899549565778240e-01
5.471569207993813e+00 1.058050929065978e-01 1.760629107201793e-01
