# omega0=1, alpha=1
# theta0=0.5, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
0  5.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 4.980669268756328e-01 -4.173510776192422e-02
1.823856402664613e-01 4.925075674089517e-01 -7.954126590185222e-02
2.735784603996920e-01 4.836768547213445e-01 -1.134953128541959e-01
3.647712805329227e-01 4.719218958682283e-01 -1.436915328770168e-01
4.559641006661534e-01 4.575805115017711e-01 -1.702389010682570e-01
5.471569207993838e-01 4.409799987263143e-01 -1.932589230525305e-01
6.383497409326140e-01 4.224360685379734e-01 -2.128839457499412e-01
7.295425610658441e-01 4.022519204579910e-01 -2.292558181892051e-01
8.207353811990743e-01 3.807174276107599e-01 -2.425247910030982e-01
9.119282013323045e-01 3.581084150210329e-01 -2.528485577322773e-01
1.003121021465535e+00 3.346860219620076e-01 -2.603913584457831e-01
1.094313841598765e+00 3.106961455876107e-01 -2.653230848719456e-01
1.185506661731995e+00 2.863689677713824e-01 -2.678183449100914e-01
1.276699481865225e+00 2.619185701018598e-01 -2.680554620010061e-01
1.367892301998455e+00 2.375426434870365e-01 -2.662154005510076e-01
1.459085122131685e+00 2.134222989992941e-01 -2.624806218431713e-01
1.550277942264916e+00 1.897219856912191e-01 -2.570338852713172e-01
1.641470762398146e+00 1.665895193985698e-01 -2.500570171582115e-01
1.732663582531376e+00 1.441562242894714e-01 -2.417296739286133e-01
1.823856402664606e+00 1.225371863753543e-01 -2.322281282294399e-01
1.915049222797836e+00 1.018316155987122e-01 -2.217241060840889e-01
2.006242042931067e+00 8.212331064765720e-02 -2.103837007846791e-01
2.097434863064297e+00 6.348121846646679e-02 -1.983663854572252e-01
2.188627683197527e+00 4.596007863851248e-02 -1.858241415751700e-01
2.279820503330757e+00 2.960114147296818e-02 -1.729007156076552e-01
2.371013323463987e+00 1.443294774984312e-02 -1.597310108717444e-01
2.462206143597217e+00 4.721576563300567e-04 -1.464406168366175e-01
2.553398963730448e+00 -1.227558355734334e-02 -1.331454738415996e-01
2.644591783863678e+00 -2.381475531888228e-02 -1.199516675932966e-01
2.735784603996908e+00 -3.415905833920072e-02 -1.069553449771298e-01
2.826977424130138e+00 -4.333050867817926e-02 -9.424274066626805e-02
2.918170244263368e+00 -5.135853884267877e-02 -8.189030269547547e-02
3.009363064396598e+00 -5.827911437495650e-02 -6.996490451065997e-02
3.100555884529828e+00 -6.413387324236139e-02 -5.852413090564688e-02
3.191748704663059e+00 -6.896929420403786e-02 -4.761662560383766e-02
3.282941524796289e+00 -7.283589924278988e-02 -3.728248892113327e-02
3.374134344929519e+00 -7.578749413567491e-02 -2.755371485192222e-02
3.465327165062749e+00 -7.788045031160311e-02 -1.845465795831120e-02
3.556519985195979e+00 -7.917303031663105e-02 -1.000252153556443e-02
3.647712805329209e+00 -7.972475847976514e-02 -2.207859611788211e-03
3.738905625462440e+00 -7.959583774101234e-02 4.924913628654230e-03
3.830098445595670e+00 -7.884661306272378e-02 1.139701246160283e-02
3.921291265728900e+00 -7.753708138636303e-02 1.721477089849807e-02
4.012484085862130e+00 -7.572644770996129e-02 2.238914050461530e-02
4.103676905995361e+00 -7.347272653673474e-02 2.693519801683319e-02
4.194869726128591e+00 -7.083238767309551e-02 3.087166549085774e-02
4.286062546261821e+00 -6.786004512592875e-02 3.422044526994034e-02
4.377255366395051e+00 -6.460818765704569e-02 3.700617170443393e-02
4.468448186528281e+00 -6.112694939095274e-02 3.925578124965720e-02
4.559641006661511e+00 -5.746391873559363e-02 4.099810231460478e-02
4.650833826794742e+00 -5.366398376082956e-02 4.226346601350949e-02
4.742026646927972e+00 -4.976921208348657e-02 4.308333877544788e-02
4.833219467061202e+00 -4.581876322906241e-02 4.348997758554438e-02
4.924412287194432e+00 -4.184883137757046e-02 4.351610845853462e-02
5.015605107327662e+00 -3.789261635390462e-02 4.319462857725609e-02
5.106797927460892e+00 -3.398032069124206e-02 4.255833236268281e-02
5.197990747594122e+00 -3.013917057919812e-02 4.163966157762049e-02
5.289183567727353e+00 -2.639345850656810e-02 4.047047940358354e-02
5.380376387860583e+00 -2.276460542130313e-02 3.908186827102450e-02
5.471569207993813e+00 -1.927124025749199e-02 3.750395106888864e-02
5.562762028127043e+00 -1.592929471999055e-02 3.576573521259614e-02
5.653954848260273e+00 -1.275211127118507e-02 3.389497891221362e-02
5.745147668393503e+00 -9.750562330232693e-03 3.191807885679358e-02
5.836340488526734e+00 -6.933178771855621e-03 2.985997841835404e-02
5.927533308659964e+00 -4.306285898101845e-03 2.774409538105705e-02
6.018726128793194e+00 -1.874145151050435e-03 2.559226811869479e-02
6.109918948926424e+00 3.609000641993774e-04 2.342471907702018e-02
6.201111769059654e+00 2.398275970208871e-03 2.126003436675475e-02
6.292304589192884e+00 4.239028834882529e-03 1.911515823787059e-02
6.383497409326115e+00 5.885675516329371e-03 1.700540118525366e-02
6.474690229459345e+00 7.342055320691375e-03 1.494446042913375e-02
6.565883049592575e+00 8.613184244310233e-03 1.294445151954328e-02
6.657075869725805e+00 9.705112558248083e-03 1.101594983125146e-02
6.748268689859035e+00 1.062478658185359e-02 9.168040742760059e-03
6.839461509992265e+00 1.137991538361755e-02 7.408377328675280e-03
6.930654330125495e+00 1.197884304271370e-02 5.743244437753342e-03
7.021847150258726e+00 1.243042700397380e-02 4.177628077882973e-03
7.113039970391956e+00 1.274392296309232e-02 2.715289083029476e-03
7.204232790525186e+00 1.292887662798177e-02 1.358840094636118e-03
7.295425610658416e+00 1.299502261669784e-02 1.098249501795329e-04
7.386618430791646e+00 1.295219067243274e-02 -1.031200366364098e-03
7.477811250924876e+00 1.281021930186885e-02 -2.064585994232456e-03
7.569004071058107e+00 1.257887687476188e-02 -2.991506404281722e-03
7.660196891191337e+00 1.226779015999464e-02 -3.813879201167130e-03
7.751389711324567e+00 1.188638021647287e-02 -4.534285111605252e-03
7.842582531457797e+00 1.144380550604356e-02 -5.155889689319034e-03
7.933775351591027e+00 1.094891204998920e-02 -5.682367206999847e-03
8.024968171724257e+00 1.041019041044311e-02 -6.117827147103054e-03
8.116160991857488e+00 9.835739243108710e-03 -6.466743646790066e-03
8.207353811990718e+00 9.233235137755504e-03 -6.733888198065751e-03
8.298546632123948e+00 8.609908437893951e-03 -6.924265852326225e-03
8.389739452257178e+00 7.972524710570019e-03 -7.043055129288002e-03
8.480932272390408e+00 7.327371521126859e-03 -7.095551783746876e-03
8.572125092523638e+00 6.680250155801776e-03 -7.087116539919348e-03
8.663317912656868e+00 6.036471926900148e-03 -7.023126862331791e-03
8.754510732790099e+00 5.400858690746010e-03 -6.908932794400512e-03
8.845703552923329e+00 4.777747207379698e-03 -6.749816861024299e-03
8.936896373056559e+00 4.170996972781532e-03 -6.550957999702742e-03
9.028089193189789e+00 3.584001158972797e-03 -6.317399455890597e-03
9.119282013323019e+00 3.019700304408069e-03 -6.054020552472102e-03
9.210474833456249e+00 2.480598406356947e-03 -5.765512220341507e-03
9.301667653589480e+00 1.968781078214285e-03 -5.456356157041490e-03
9.392860473722710e+00 1.485935447618566e-03 -5.130807463156635e-03
9.484053293855940e+00 1.033371485649040e-03 -4.792880591586983e-03
9.575246113989170e+00 6.120444729739309e-04 -4.446338432825562e-03
9.666438934122400e+00 2.225783254055725e-04 -4.094684349810473e-03
9.757631754255630e+00 -1.347104813335404e-04 -3.741156968683752e-03
9.848824574388860e+00 -4.597886299218016e-04 -3.388727526724956e-03
